ID,Area,Priority,Package Weight (kg)
2396,Maadi,2,4.7
2397,6th of October,2,5.6
2398,Downtown,3,5.0
2399,Madinaty,1,7.2
2400,Madinaty,5,5.7
2401,Agouza,4,6.9
2402,Dokki,5,4.8
2403,New Cairo,4,0.7
2404,Shubra,5,6.0
2405,6th of October,3,6.8
2406,Agouza,1,0.7
2407,Helwan,3,1.4
2408,Agouza,1,8.1
2409,Giza,4,7.7
2410,Helwan,3,1.1
2411,Maadi,2,4.2
2412,6th of October,5,2.6
2413,Zamalek,3,0.9
2414,Dokki,1,1.2
2415,Maadi,4,5.4
2416,Ain Shams,5,6.6
2417,Ain Shams,3,5.2
2418,Madinaty,5,0.3
2419,Giza,4,0.3
2420,Giza,5,5.7
2421,Madinaty,1,1.1
2422,Mohandessin,3,6.9
2423,Giza,2,5.0
2424,Helwan,4,6.2
2425,Zamalek,5,2.1
2426,New Cairo,1,2.2
2427,Agouza,4,3.0
2428,Manial,1,8.1
2429,Agouza,1,7.2
2430,New Cairo,1,6.0
2431,Sheikh Zayed,4,5.7
2432,Helwan,1,4.3
2433,6th of October,5,6.6
2434,Ain Shams,5,8.1
2435,Ain Shams,4,3.2
2436,Sheikh Zayed,4,2.6
2437,5th Settlement,2,6.7
2438,Sheikh Zayed,2,8.8
2439,Mohandessin,4,5.8
2440,5th Settlement,5,2.8
2441,Ain Shams,5,8.5
2442,Maadi,5,7.3
2443,Rehab,2,2.1
2444,6th of October,4,2.5
2445,Zamalek,2,4.2
2446,New Cairo,3,8.5
2447,New Cairo,5,6.5
2448,Garden City,1,2.4
2449,Nasr City,2,1.6
2450,6th of October,4,8.0
2451,Ain Shams,4,4.9
2452,Maadi,2,6.5
2453,Downtown,1,1.7
2454,New Cairo,5,2.7
2455,Maadi,4,1.8
2456,Maadi,1,7.8
2457,6th of October,1,3.2
2458,Ain Shams,3,9.0
2459,Zamalek,4,6.7
2460,Downtown,2,9.4
2461,Sheikh Zayed,1,1.2
2462,Agouza,5,5.3
2463,Zamalek,2,2.6
2464,Giza,3,6.0
2465,Shubra,2,8.3
2466,Mohandessin,2,9.4
2467,Mohandessin,3,1.2
2468,New Cairo,5,4.5
2469,5th Settlement,3,0.7
2470,Heliopolis,3,7.0
2471,Madinaty,2,5.5
2472,Downtown,3,9.6
2473,Helwan,3,4.8
2474,Manial,1,0.3
2475,Maadi,2,8.4
2476,Shubra,3,2.6
2477,Helwan,1,6.4
2478,Garden City,4,5.4
2479,Shubra,3,3.9
2480,Garden City,3,3.1
2481,Dokki,4,2.2
2482,Ain Shams,1,6.4
2483,Zamalek,4,2.8
2484,Ain Shams,3,4.8
2485,Heliopolis,2,7.2
2486,Sheikh Zayed,1,7.0
2487,Manial,5,3.6
2488,Rehab,1,7.4
2489,Dokki,4,7.6
2490,Downtown,1,7.9
2491,6th of October,3,4.1
2492,Heliopolis,2,5.8
2493,Downtown,5,2.6
2494,Giza,4,6.9
2495,Downtown,3,4.8
2496,Agouza,3,1.8
2497,Mohandessin,1,8.0
2498,Dokki,4,4.2
2499,Agouza,2,8.8
2500,Nasr City,5,0.3
2501,Garden City,1,6.5
2502,Mohandessin,3,9.7
2503,Dokki,1,7.0
2504,Ain Shams,5,4.1
2505,Zamalek,3,2.7
2506,Agouza,1,1.8
2507,Sheikh Zayed,4,0.2
2508,Rehab,4,7.8
2509,Mohandessin,2,1.3
2510,New Cairo,3,9.5
2511,Shubra,2,7.5
2512,Mohandessin,5,4.4
2513,6th of October,2,2.2
2514,Ain Shams,2,4.2
2515,New Cairo,2,0.4
2516,Garden City,3,6.2
2517,Rehab,1,5.9
2518,Downtown,3,0.2
2519,Shubra,2,9.7
2520,Ain Shams,5,7.2
2521,Heliopolis,5,2.6
2522,Giza,2,0.7
2523,Helwan,5,4.8
2524,Manial,1,9.4
2525,Sheikh Zayed,5,0.2
2526,Shubra,3,3.9
2527,5th Settlement,1,1.4
2528,New Cairo,2,5.8
2529,Giza,4,5.1
2530,Giza,5,1.4
2531,New Cairo,1,4.4
2532,Downtown,4,3.2
2533,New Cairo,3,8.7
2534,6th of October,3,9.3
2535,New Cairo,5,6.2
2536,Dokki,3,3.2
2537,Madinaty,2,7.4
2538,Rehab,1,5.6
2539,Maadi,2,2.0
2540,Madinaty,3,1.9
2541,Rehab,4,1.7
2542,Madinaty,1,1.2
2543,5th Settlement,4,4.5
2544,Heliopolis,2,4.6
2545,Zamalek,2,1.3
2546,Dokki,2,8.7
2547,New Cairo,5,7.5
2548,Agouza,2,8.9
2549,Nasr City,5,5.9
2550,Dokki,4,7.7
2551,Garden City,4,9.2
2552,Giza,1,6.8
2553,Heliopolis,4,2.9
2554,Heliopolis,3,3.8
2555,Zamalek,4,1.6
2556,Madinaty,4,8.3
2557,New Cairo,5,6.3
2558,Giza,1,6.6
2559,Rehab,3,6.6
2560,Agouza,2,9.5
2561,Maadi,3,2.2
2562,Maadi,1,3.3
2563,Manial,4,5.5
2564,New Cairo,2,1.0
2565,Shubra,1,2.5
2566,Mohandessin,2,0.3
2567,Shubra,3,3.9
2568,Downtown,1,6.5
2569,Ain Shams,3,3.1
2570,Manial,2,9.0
2571,Heliopolis,3,3.7
2572,Madinaty,4,5.2
2573,Madinaty,3,8.9
2574,Ain Shams,1,5.7
2575,Helwan,5,7.6
2576,Ain Shams,1,1.9
2577,Giza,4,0.5
2578,Downtown,4,6.8
2579,Sheikh Zayed,1,5.3
2580,Ain Shams,1,3.0
2581,Madinaty,3,9.1
2582,Downtown,3,1.6
2583,Sheikh Zayed,4,8.4
2584,Maadi,5,3.0
2585,Maadi,5,0.9
2586,Ain Shams,4,1.2
2587,Agouza,3,1.0
2588,Agouza,1,3.6
2589,Nasr City,1,7.7
2590,Rehab,2,7.4
2591,Shubra,1,7.9
2592,6th of October,3,0.9
2593,Rehab,4,5.9
2594,New Cairo,3,6.3
2595,Dokki,2,9.7
2596,Manial,3,1.9
2597,Heliopolis,4,8.7
2598,Nasr City,4,5.4
2599,Dokki,4,1.3
2600,Shubra,5,4.7
2601,6th of October,5,7.3
2602,Manial,3,8.2
2603,Shubra,3,6.9
2604,Downtown,1,1.0
2605,Nasr City,2,2.0
2606,Mohandessin,4,8.6
2607,Garden City,4,6.5
2608,5th Settlement,2,8.4
2609,Rehab,2,1.0
2610,Nasr City,1,4.8
2611,Downtown,4,1.7
2612,Madinaty,1,9.6
2613,Agouza,2,8.6
2614,Agouza,4,2.1
2615,Nasr City,1,0.6
2616,Ain Shams,4,6.3
2617,Agouza,5,8.5
2618,6th of October,1,7.3
2619,Madinaty,5,4.9
2620,Manial,4,6.0
2621,Maadi,5,2.4
2622,Agouza,3,0.3
2623,New Cairo,4,5.6
2624,Heliopolis,4,8.9
2625,Helwan,4,6.3
2626,Nasr City,2,7.0
2627,Mohandessin,4,3.0
2628,Garden City,5,3.5
2629,Giza,5,2.3
2630,Rehab,2,8.5
2631,Shubra,4,8.8
2632,Helwan,4,8.3
2633,Dokki,5,8.0
2634,Zamalek,4,2.2
2635,Mohandessin,2,1.4
2636,Heliopolis,4,6.1
2637,Madinaty,3,9.4
2638,5th Settlement,1,2.4
2639,Helwan,3,10.0
2640,Dokki,2,3.6
2641,Sheikh Zayed,1,8.3
2642,Giza,4,8.1
2643,Garden City,1,1.2
2644,Madinaty,3,5.7
2645,Helwan,1,9.9
2646,5th Settlement,3,7.7
2647,Sheikh Zayed,5,9.0
2648,Maadi,4,6.7
2649,Heliopolis,1,8.0
2650,Manial,1,7.8
2651,Maadi,5,8.3
2652,Heliopolis,2,1.1
2653,Dokki,3,9.1
2654,Sheikh Zayed,4,7.1
2655,Heliopolis,2,7.4
2656,Giza,2,6.5
2657,Mohandessin,4,1.3
2658,Nasr City,2,9.7
2659,Madinaty,3,8.4
2660,Dokki,1,2.9
2661,Ain Shams,3,2.7
2662,Garden City,2,6.3
2663,Sheikh Zayed,4,7.6
2664,Downtown,4,7.9
2665,Ain Shams,4,4.2
2666,Sheikh Zayed,3,9.5
2667,Rehab,2,9.4
2668,Sheikh Zayed,1,7.7
2669,Giza,4,0.9
2670,Dokki,4,9.8
2671,Maadi,2,0.7
2672,Maadi,5,9.0
2673,Ain Shams,4,9.7
2674,5th Settlement,3,8.9
2675,Giza,3,7.2
2676,New Cairo,5,0.2
2677,Downtown,4,6.1
2678,Mohandessin,5,4.5
2679,Manial,4,6.3
2680,Shubra,2,7.0
2681,Zamalek,1,8.8
2682,Shubra,2,5.4
2683,5th Settlement,3,5.3
2684,Sheikh Zayed,5,2.2
2685,Giza,2,3.2
2686,5th Settlement,5,0.3
2687,6th of October,4,2.7
2688,Heliopolis,1,9.9
2689,New Cairo,5,8.4
2690,Maadi,1,3.6
2691,Agouza,1,4.5
2692,Garden City,5,4.6
2693,5th Settlement,5,5.7
2694,6th of October,3,2.4
2695,Agouza,2,6.7
2696,Sheikh Zayed,2,7.2
2697,Sheikh Zayed,5,1.1
2698,Helwan,4,2.0
2699,Ain Shams,4,1.1
2700,Maadi,4,0.9
2701,Madinaty,2,8.9
2702,Helwan,5,4.5
2703,5th Settlement,5,4.1
2704,New Cairo,5,7.8
2705,Ain Shams,4,5.0
2706,Madinaty,4,6.9
2707,Downtown,5,8.3
2708,Rehab,2,1.4
2709,Sheikh Zayed,5,9.7
2710,Mohandessin,4,1.3
2711,Dokki,5,4.8
2712,Heliopolis,5,3.8
2713,Heliopolis,1,8.5
2714,6th of October,1,3.8
2715,Heliopolis,3,5.3
2716,Helwan,3,3.1
2717,Nasr City,2,3.0
2718,Agouza,4,1.5
2719,6th of October,3,0.6
2720,Madinaty,1,2.2
2721,Helwan,1,1.3
2722,Ain Shams,4,8.7
2723,Agouza,4,5.8
2724,Shubra,4,9.0
2725,Manial,2,8.4
2726,Sheikh Zayed,4,7.6
2727,Rehab,2,7.6
2728,Giza,1,8.7
2729,Manial,4,8.0
2730,Shubra,3,3.9
2731,Rehab,3,5.5
2732,Dokki,1,6.5
2733,6th of October,5,5.8
2734,5th Settlement,1,6.5
2735,Manial,5,2.0
2736,Maadi,5,5.8
2737,Madinaty,5,5.3
2738,Heliopolis,5,9.0
2739,Nasr City,3,1.9
2740,Garden City,5,7.9
2741,5th Settlement,5,4.5
2742,Agouza,1,3.3
2743,Nasr City,3,5.0
2744,Ain Shams,1,4.4
2745,Giza,4,8.6
2746,Heliopolis,1,2.6
2747,6th of October,2,5.5
2748,Zamalek,2,1.9
2749,Ain Shams,2,3.1
2750,Giza,2,0.7
2751,Maadi,3,0.4
2752,Giza,2,4.0
2753,Giza,3,4.2
2754,Heliopolis,1,3.8
2755,Manial,5,2.1
2756,Sheikh Zayed,5,2.4
2757,Heliopolis,3,3.9
2758,Rehab,5,0.7
2759,Madinaty,1,4.1
2760,Garden City,1,4.1
2761,Agouza,1,2.8
2762,5th Settlement,2,2.5
2763,Ain Shams,4,3.1
2764,Sheikh Zayed,2,0.9
2765,Downtown,3,7.9
2766,Dokki,2,5.5
2767,Ain Shams,5,5.4
2768,Nasr City,4,4.6
2769,Manial,3,9.6
2770,Dokki,1,6.6
2771,Madinaty,3,0.7
2772,Shubra,3,6.0
2773,Mohandessin,5,8.4
2774,6th of October,1,8.4
2775,5th Settlement,5,1.7
2776,Zamalek,4,0.8
2777,Downtown,5,7.0
2778,Ain Shams,2,10.0
2779,Giza,3,6.1
2780,Rehab,3,6.4
2781,Giza,3,2.5
2782,Manial,3,2.2
2783,Downtown,1,0.3
2784,Nasr City,1,6.1
2785,Ain Shams,5,6.8
2786,Madinaty,4,9.0
2787,Zamalek,5,5.4
2788,Rehab,1,0.4
2789,Shubra,5,3.6
2790,Dokki,1,3.6
2791,Helwan,2,1.3
2792,Garden City,1,4.5
2793,Helwan,2,7.6
2794,Manial,3,1.0
2795,Garden City,2,8.1
2796,Helwan,1,9.8
2797,Manial,2,2.9
2798,Shubra,1,0.2
2799,Agouza,5,8.7
2800,5th Settlement,2,5.0
2801,Agouza,5,6.6
2802,Zamalek,5,5.7
2803,Zamalek,2,1.4
2804,Agouza,2,2.7
2805,New Cairo,2,8.8
2806,Nasr City,5,8.5
2807,5th Settlement,4,6.2
2808,Ain Shams,1,0.1
2809,Giza,4,8.6
2810,Ain Shams,3,8.5
2811,Sheikh Zayed,4,1.3
2812,Sheikh Zayed,1,5.0
2813,Garden City,1,8.8
2814,Ain Shams,5,2.9
2815,Nasr City,4,4.5
2816,Zamalek,5,2.0
2817,Garden City,4,8.1
2818,Garden City,2,9.6
2819,6th of October,1,1.7
2820,Heliopolis,1,6.3
2821,Nasr City,5,4.9
2822,Giza,3,8.0
2823,Madinaty,2,2.5
2824,Maadi,3,9.6
2825,Garden City,1,5.2
2826,Manial,4,7.8
2827,Rehab,5,7.7
2828,Maadi,1,1.3
2829,Zamalek,2,3.8
2830,Rehab,1,0.7
2831,Ain Shams,1,3.1
2832,Maadi,5,1.1
2833,Shubra,4,0.6
2834,Ain Shams,2,1.0
2835,Manial,1,8.7
2836,Rehab,4,4.6
2837,Manial,1,8.8
2838,Nasr City,4,3.5
2839,Agouza,2,5.2
2840,Nasr City,5,1.2
2841,Agouza,2,7.2
2842,Downtown,5,9.1
2843,Ain Shams,4,2.6
2844,Rehab,2,7.3
2845,Maadi,1,2.5
2846,Agouza,4,1.4
2847,Helwan,3,5.2
2848,5th Settlement,2,5.9
2849,6th of October,5,1.6
2850,Helwan,1,3.5
2851,Downtown,1,5.2
2852,5th Settlement,1,2.5
2853,Mohandessin,2,4.3
2854,Mohandessin,1,6.4
2855,Madinaty,4,3.5
2856,Giza,5,6.0
2857,Giza,5,5.7
2858,Giza,2,3.1
2859,Maadi,4,1.1
2860,Nasr City,2,2.3
2861,Rehab,5,7.0
2862,Madinaty,3,2.2
2863,Shubra,2,8.1
2864,Nasr City,3,4.1
2865,Helwan,1,0.2
2866,Downtown,3,5.6
2867,Agouza,3,4.5
2868,Nasr City,2,0.5
2869,Dokki,2,2.1
2870,Dokki,3,8.9
2871,Garden City,2,8.5
2872,Dokki,3,2.0
2873,Nasr City,2,9.1
2874,Heliopolis,3,3.9
2875,6th of October,4,9.4
2876,Helwan,2,2.5
2877,Manial,4,9.4
2878,Zamalek,1,8.8
2879,Downtown,2,1.5
2880,Shubra,3,2.0
2881,Ain Shams,2,3.2
2882,Manial,5,9.2
2883,5th Settlement,3,2.0
2884,Giza,2,7.9
2885,New Cairo,2,0.6
2886,Agouza,4,8.5
2887,Zamalek,4,2.2
2888,Manial,1,7.9
2889,Shubra,5,1.8
2890,Sheikh Zayed,4,3.8
2891,Helwan,5,1.9
2892,Madinaty,4,7.0
2893,Shubra,5,2.8
2894,Mohandessin,2,6.5
2895,Rehab,2,9.0
2896,6th of October,4,4.0
2897,Agouza,2,8.9
2898,Helwan,3,9.4
2899,Downtown,1,5.6
2900,Sheikh Zayed,3,3.0
2901,Maadi,4,2.4
2902,Giza,4,5.2
2903,Ain Shams,4,4.6
2904,Madinaty,3,3.7
2905,Nasr City,2,2.8
2906,New Cairo,1,4.5
2907,Zamalek,3,3.7
2908,Sheikh Zayed,5,8.4
2909,New Cairo,2,6.5
2910,Zamalek,3,1.1
2911,Mohandessin,3,0.5
2912,Giza,3,2.0
2913,New Cairo,2,3.1
2914,Downtown,5,7.1
2915,Nasr City,3,9.1
2916,Helwan,4,2.9
2917,Agouza,1,9.5
2918,Sheikh Zayed,2,4.8
2919,Garden City,2,8.7
2920,Mohandessin,4,7.3
2921,Agouza,5,2.4
2922,Rehab,3,7.6
2923,Giza,2,7.9
2924,Ain Shams,2,4.3
2925,5th Settlement,1,4.4
2926,Agouza,2,3.8
2927,Nasr City,4,3.1
2928,Helwan,3,8.1
2929,Ain Shams,4,2.3
2930,5th Settlement,3,7.7
2931,Nasr City,5,3.3
2932,Downtown,2,7.9
2933,Giza,5,9.8
2934,Manial,5,6.3
2935,Shubra,4,5.8
2936,Shubra,1,2.1
2937,Mohandessin,4,5.4
2938,Agouza,4,1.2
2939,6th of October,1,6.4
2940,5th Settlement,2,1.8
2941,Manial,4,0.4
2942,Mohandessin,1,0.4
2943,Shubra,3,9.1
2944,6th of October,5,2.1
2945,Maadi,3,0.8
2946,Dokki,3,5.2
2947,Ain Shams,4,8.6
2948,Heliopolis,2,1.7
2949,Madinaty,1,5.4
2950,Mohandessin,2,4.0
2951,6th of October,4,8.7
2952,Madinaty,2,8.2
2953,6th of October,5,6.1
2954,Rehab,3,2.1
2955,Downtown,4,2.1
2956,Shubra,5,0.7
2957,Sheikh Zayed,3,8.1
2958,Madinaty,4,9.1
2959,Maadi,1,4.7
2960,Rehab,3,3.0
2961,6th of October,4,7.0
2962,Dokki,4,6.2
2963,Manial,4,2.6
2964,Dokki,5,4.6
2965,Maadi,2,1.0
2966,Dokki,3,8.9
2967,5th Settlement,3,8.8
2968,Zamalek,2,6.7
2969,Ain Shams,5,9.1
2970,Helwan,1,1.3
2971,Sheikh Zayed,3,7.6
2972,Dokki,3,4.2
2973,Maadi,4,2.2
2974,Rehab,4,0.4
2975,Shubra,2,3.5
2976,Nasr City,3,4.0
2977,Downtown,3,1.2
2978,Rehab,4,6.7
2979,Zamalek,5,4.7
2980,Rehab,2,6.6
2981,New Cairo,2,4.8
2982,Nasr City,5,1.8
2983,6th of October,1,1.1
2984,Shubra,2,5.4
2985,Nasr City,3,0.9
2986,Helwan,2,1.6
2987,Maadi,5,2.2
2988,Maadi,5,2.2
2989,Heliopolis,4,6.4
2990,Rehab,1,6.9
2991,Maadi,4,6.0
2992,Garden City,3,7.7
2993,Mohandessin,1,9.1
2994,Nasr City,1,0.3
2995,Mohandessin,1,3.4
2996,Heliopolis,2,2.3
2997,Maadi,4,7.3
2998,Giza,3,5.2
2999,Mohandessin,5,5.7
3000,5th Settlement,4,2.2
3001,Heliopolis,2,9.4
3002,Helwan,3,2.2
3003,Shubra,3,1.8
3004,Mohandessin,4,0.2
3005,New Cairo,5,2.3
3006,Zamalek,2,3.8
3007,Manial,4,4.2
3008,Heliopolis,5,9.8
3009,Agouza,2,7.9
3010,Heliopolis,5,2.6
3011,Shubra,2,3.3
3012,Giza,4,3.4
3013,Nasr City,5,0.8
3014,Rehab,4,9.1
3015,Garden City,5,5.2
3016,Nasr City,2,5.9
3017,Heliopolis,3,0.3
3018,Ain Shams,2,2.4
3019,Maadi,2,6.2
3020,6th of October,2,3.8
3021,Mohandessin,1,1.6
3022,Manial,4,2.5
3023,Giza,2,7.4
3024,Maadi,5,2.9
3025,Ain Shams,3,7.9
3026,Garden City,3,7.5
3027,Mohandessin,5,3.5
3028,Garden City,2,0.6
3029,Shubra,5,6.1
3030,Rehab,1,3.3
3031,Madinaty,1,0.7
3032,Maadi,2,9.5
3033,Downtown,1,9.4
3034,5th Settlement,2,1.8
3035,Zamalek,4,2.4
3036,6th of October,2,7.3
3037,Garden City,4,7.2
3038,Garden City,3,1.8
3039,Rehab,2,2.9
3040,Madinaty,1,2.8
3041,Helwan,4,9.5
3042,Madinaty,4,3.8
3043,Manial,4,4.3
3044,Madinaty,1,7.6
3045,Ain Shams,1,7.6
3046,6th of October,5,7.6
3047,5th Settlement,2,5.4
3048,Rehab,3,2.6
3049,Shubra,5,4.6
3050,Zamalek,3,6.1
3051,Madinaty,2,1.5
3052,Mohandessin,1,1.6
3053,Sheikh Zayed,3,0.2
3054,Ain Shams,4,5.0
3055,Helwan,4,9.7
3056,Agouza,1,4.9
3057,Maadi,1,4.1
3058,Agouza,2,3.9
3059,Ain Shams,3,2.0
3060,Helwan,5,7.7
3061,Helwan,1,7.1
3062,Ain Shams,2,6.5
3063,Maadi,3,2.5
3064,Nasr City,2,6.3
3065,Rehab,2,2.7
3066,Manial,5,2.6
3067,Dokki,1,9.5
3068,Zamalek,4,1.3
3069,Agouza,1,4.0
3070,Mohandessin,4,5.2
3071,Ain Shams,3,1.7
3072,Sheikh Zayed,5,6.9
3073,Shubra,5,6.6
3074,Ain Shams,1,3.1
3075,Agouza,3,1.2
3076,New Cairo,2,8.2
3077,Shubra,3,9.3
3078,Dokki,4,0.2
3079,Zamalek,4,0.1
3080,6th of October,4,5.3
3081,Helwan,2,1.8
3082,Mohandessin,4,7.1
3083,Heliopolis,4,1.9
3084,Mohandessin,2,5.7
3085,Dokki,2,2.1
3086,Ain Shams,4,2.7
3087,Manial,1,6.3
3088,Dokki,1,8.7
3089,Shubra,1,3.0
3090,Giza,1,2.8
3091,Madinaty,4,5.9
3092,Heliopolis,1,6.8
3093,Nasr City,5,0.7
3094,Maadi,1,7.9
3095,Nasr City,4,2.2
3096,New Cairo,4,6.1
3097,Giza,5,4.8
3098,Helwan,3,4.4
3099,Garden City,3,10.0
3100,Shubra,5,6.7
3101,Helwan,3,0.7
3102,Nasr City,4,8.1
3103,Shubra,2,8.7
3104,Heliopolis,5,0.4
3105,Garden City,3,2.9
3106,Madinaty,5,4.6
3107,Mohandessin,1,4.2
3108,Giza,1,9.9
3109,Maadi,3,6.4
3110,Garden City,5,6.8
3111,Manial,1,4.9
3112,Madinaty,1,3.5
3113,6th of October,5,7.4
3114,Downtown,5,2.0
3115,Sheikh Zayed,1,8.8
3116,Zamalek,3,1.4
3117,5th Settlement,4,8.3
3118,Rehab,1,1.8
3119,5th Settlement,2,4.9
3120,Dokki,1,2.5
3121,Nasr City,2,1.1
3122,Giza,4,9.3
3123,Garden City,3,7.7
3124,Heliopolis,2,6.7
3125,Madinaty,1,9.2
3126,Giza,2,8.0
3127,Manial,1,9.3
3128,Shubra,4,6.5
3129,5th Settlement,4,6.6
3130,Garden City,3,8.1
3131,Zamalek,1,1.2
3132,Agouza,2,1.0
3133,Heliopolis,5,7.5
3134,Giza,4,3.7
3135,Nasr City,3,5.8
3136,5th Settlement,2,0.7
3137,Ain Shams,3,8.5
3138,Downtown,5,7.7
3139,Agouza,2,6.7
3140,Nasr City,5,1.2
3141,Giza,2,8.5
3142,6th of October,2,8.2
3143,Rehab,2,5.0
3144,Downtown,1,6.1
3145,6th of October,5,6.0
3146,Heliopolis,3,9.9
3147,Agouza,4,10.0
3148,Mohandessin,4,6.3
3149,Shubra,1,3.0
3150,Giza,2,9.8
3151,Mohandessin,2,8.3
3152,Maadi,2,7.0
3153,Shubra,3,8.6
3154,Dokki,1,9.8
3155,Giza,4,5.5
3156,Helwan,4,6.8
3157,Sheikh Zayed,3,4.0
3158,Mohandessin,5,2.9
3159,Downtown,3,4.0
3160,Agouza,1,7.5
3161,6th of October,4,8.5
3162,Agouza,2,6.6
3163,Madinaty,3,4.5
3164,Mohandessin,2,9.0
3165,Mohandessin,1,8.1
3166,Agouza,1,3.7
3167,Downtown,4,6.8
3168,Ain Shams,2,9.5
3169,Heliopolis,3,9.3
3170,Dokki,1,9.7
3171,Sheikh Zayed,3,1.3
3172,Downtown,4,6.0
3173,Heliopolis,2,2.5
3174,6th of October,5,4.0
3175,Shubra,1,9.6
3176,Shubra,3,7.8
3177,Rehab,3,6.4
3178,Heliopolis,1,0.2
3179,Sheikh Zayed,2,1.3
3180,Agouza,5,0.3
3181,Heliopolis,5,4.8
3182,Madinaty,4,1.9
3183,Downtown,1,3.1
3184,5th Settlement,2,3.3
3185,Nasr City,4,4.1
3186,5th Settlement,5,5.6
3187,Sheikh Zayed,5,4.9
3188,Heliopolis,2,5.4
3189,Heliopolis,2,9.7
3190,Dokki,1,8.6
3191,Giza,1,5.6
3192,Agouza,2,0.5
3193,Zamalek,5,6.6
3194,Maadi,1,2.6
3195,Sheikh Zayed,3,9.8
3196,5th Settlement,2,3.7
3197,Nasr City,2,4.3
3198,Sheikh Zayed,3,3.1
3199,Rehab,2,6.6
3200,Giza,5,5.8
3201,Helwan,5,9.1
3202,Mohandessin,1,5.4
3203,Maadi,2,6.7
3204,Downtown,3,0.5
3205,Mohandessin,2,8.6
3206,Mohandessin,5,6.1
3207,Downtown,5,3.7
3208,5th Settlement,3,4.3
3209,Dokki,4,2.7
3210,New Cairo,4,4.6
3211,Downtown,5,9.4
3212,New Cairo,2,2.1
3213,Agouza,5,7.2
3214,Ain Shams,2,6.1
3215,Ain Shams,4,3.2
3216,Manial,2,0.4
3217,Heliopolis,5,0.9
3218,5th Settlement,4,1.2
3219,Zamalek,3,0.8
3220,New Cairo,2,9.1
3221,Garden City,3,8.7
3222,Shubra,2,0.2
3223,Heliopolis,1,3.8
3224,6th of October,5,1.8
3225,Madinaty,1,8.2
3226,Agouza,3,5.3
3227,Manial,1,5.6
3228,Dokki,3,9.0
3229,Shubra,2,9.5
3230,5th Settlement,5,3.5
3231,Shubra,4,6.0
3232,New Cairo,1,6.0
3233,Downtown,2,6.9
3234,Agouza,3,1.5
3235,Helwan,2,0.6
3236,Ain Shams,4,6.8
3237,Helwan,4,1.9
3238,New Cairo,4,5.1
3239,Garden City,3,5.3
3240,Zamalek,3,6.4
3241,Giza,1,4.1
3242,Zamalek,2,6.4
3243,Dokki,5,9.5
3244,6th of October,5,0.7
3245,Nasr City,4,9.3
3246,Downtown,4,6.8
3247,5th Settlement,1,5.0
3248,Manial,2,4.1
3249,Nasr City,4,9.1
3250,Helwan,2,7.1
3251,Sheikh Zayed,5,9.9
3252,Rehab,2,0.5
3253,Sheikh Zayed,2,6.8
3254,Helwan,2,1.8
3255,Maadi,4,5.2
3256,Dokki,3,5.0
3257,Giza,2,9.7
3258,Heliopolis,3,8.3
3259,6th of October,3,3.1
3260,Agouza,4,2.2
3261,6th of October,5,2.3
3262,Maadi,4,8.3
3263,Madinaty,1,8.9
3264,Manial,4,3.6
3265,Helwan,1,3.4
3266,Dokki,4,0.2
3267,Heliopolis,4,3.6
3268,Zamalek,5,5.0
3269,Downtown,4,5.2
3270,Madinaty,1,1.3
3271,New Cairo,2,1.6
3272,Helwan,3,4.8
3273,Dokki,5,3.7
3274,Heliopolis,4,8.1
3275,Rehab,2,6.6
3276,Ain Shams,1,1.5
3277,Mohandessin,1,3.7
3278,Maadi,2,2.0
3279,Giza,1,4.0
3280,Mohandessin,4,1.7
3281,New Cairo,1,9.6
3282,5th Settlement,4,4.3
3283,Downtown,3,8.0
3284,Shubra,5,7.5
3285,Shubra,2,7.3
3286,Heliopolis,1,1.2
3287,Helwan,5,1.3
3288,Garden City,1,0.2
3289,Giza,4,6.8
3290,Nasr City,4,9.8
3291,6th of October,4,4.9
3292,Ain Shams,2,0.9
3293,Sheikh Zayed,2,6.2
3294,Heliopolis,3,2.6
3295,Garden City,4,9.9
3296,Heliopolis,5,2.1
3297,Mohandessin,5,6.1
3298,Downtown,2,6.3
3299,Shubra,1,1.3
3300,Mohandessin,2,2.8
3301,Manial,2,4.3
3302,Maadi,4,1.0
3303,6th of October,2,4.1
3304,Ain Shams,4,2.3
3305,Ain Shams,1,0.7
3306,New Cairo,3,3.1
3307,Helwan,4,2.9
3308,Maadi,2,2.5
3309,Maadi,3,0.5
3310,Madinaty,3,2.2
3311,Heliopolis,4,9.1
3312,Madinaty,3,1.9
3313,Heliopolis,1,3.4
3314,5th Settlement,2,6.7
3315,Helwan,5,3.4
3316,Helwan,2,5.3
3317,Mohandessin,5,6.5
3318,Heliopolis,2,3.9
3319,Manial,1,6.3
3320,Mohandessin,2,0.5
3321,Heliopolis,1,7.1
3322,Manial,3,9.4
3323,Madinaty,2,3.1
3324,Downtown,1,5.4
3325,Ain Shams,5,1.4
3326,5th Settlement,3,7.1
3327,Rehab,1,9.0
3328,Zamalek,4,9.1
3329,Sheikh Zayed,1,4.2
3330,New Cairo,2,1.8
3331,Agouza,1,3.0
3332,Mohandessin,4,8.0
3333,5th Settlement,5,5.0
3334,Dokki,4,9.7
3335,Shubra,5,7.5
3336,Shubra,5,7.8
3337,Dokki,1,2.8
3338,Mohandessin,5,1.7
3339,Sheikh Zayed,4,7.0
3340,Sheikh Zayed,3,5.1
3341,Garden City,3,3.1
